sample-id	Sample	File_ID	Raw reads	Type	Soil	Soil.Type	Soil.Location	Location	Group	Run	Raw_reads
SW-SC-SH-03	N119	EKDN230025067-1A_HHG3HDSX7_L4	171644636	Wheat	SC	SW-SC	SC.SH	SH	SW-SC-SH	1	171644636
SW-SC-SH-04	N120	EKDN230025068-1A_HHG3HDSX7_L4	146020016	Wheat	SC	SW-SC	SC.SH	SH	SW-SC-SH	1	146020016
SW-SC-SH-05	N121	EKDN230025069-1A_HHG3HDSX7_L2	126383914	Wheat	SC	SW-SC	SC.SH	SH	SW-SC-SH	1	126383914
SW-SL-SH-01	N122	EKDN230025070-1A_HHG3HDSX7_L4	155119706	Wheat	SL	SW-SL	SL.SH	SH	SW-SL-SH	1	155119706
SW-SL-SH-02	N123	EKDN230025071-1A_HHG3HDSX7_L4	131635556	Wheat	SL	SW-SL	SL.SH	SH	SW-SL-SH	1	131635556
SW-SL-SH-04	N125	EKDN230025073-1A_HHG3HDSX7_L4	167807808	Wheat	SL	SW-SL	SL.SH	SH	SW-SL-SH	1	167807808
SW-SL-SH-05	N126	EKDN230025074-1A_HHG3HDSX7_L4	129411686	Wheat	SL	SW-SL	SL.SH	SH	SW-SL-SH	1	129411686
SW-SC-HE-01	N127	EKDN230025075-1A_HHG3HDSX7_L1	109785204	Wheat	SC	SW-SC	SC.HE	HE	SW-SC-HE	1	109785204
SW-SC-HE-02	N128	EKDN230025076-1A_HHG3HDSX7_L1	118482900	Wheat	SC	SW-SC	SC.HE	HE	SW-SC-HE	1	118482900
SW-SC-HE-03	N129	EKDN230025077-1A_HHG3HDSX7_L1	113507818	Wheat	SC	SW-SC	SC.HE	HE	SW-SC-HE	1	113507818
SW-SC-HE-05	N131	EKDN230025079-1A_HHG3HDSX7_L1	111614260	Wheat	SC	SW-SC	SC.HE	HE	SW-SC-HE	1	111614260
SW-SL-BE-01	N132	EKDN230025080-1A_HHG3HDSX7_L2	127177064	Wheat	SL	SW-SL	SL.BE	BE	SW-SL-BE	1	127177064
SW-SL-BE-02	N133	EKDN230025081-1A_HHG3HDSX7_L2	140874920	Wheat	SL	SW-SL	SL.BE	BE	SW-SL-BE	1	140874920
SW-SL-BE-03	N134	EKDN230025082-1A_HHG3HDSX7_L4	153559914	Wheat	SL	SW-SL	SL.BE	BE	SW-SL-BE	1	153559914
SW-SL-BE-04	N135	EKDN230025083-1A_HHG3HDSX7_L2	133081882	Wheat	SL	SW-SL	SL.BE	BE	SW-SL-BE	1	133081882
